Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13344171.0,condition-3,6.0,i9,interoceptive,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,with a rapid heartbeat,"comfortable, calm, relaxed",i9kh-dokidoki.mp4,1,13745.799999988085
18.0,13344171.0,condition-3,7.0,a8,auditory,a8hk-bosori.mp4,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur","in a whisper, in a murmur","shrieking, squealing",a8hk-bosori.mp4,1,10171.39999998809
18.0,13344171.0,condition-3,8.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily","ravenously, greedily","weary, fed up, dejected",i1hk-geNnari.mp4,0,11736.19999998808
18.0,13344171.0,condition-3,9.0,a5,auditory,a5kh-dotabata.mp4,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet",slowly and quietly,"noisily, with heavy feet",a5hk-sororisorori.mp4,0,8743.000000011933
18.0,13344171.0,condition-3,10.0,a7,auditory,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak","tramping, stomping","with a creak, squeak",a7kh-gisigisi.mp4,1,9449.400000000023
18.0,13344171.0,condition-3,11.0,v9,visual,v9kh-bosabosa.mp4,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled","ruffled, disheveled","billowing, plump",v9kh-bosabosa.mp4,1,8532.700000000012
18.0,13344171.0,condition-3,12.0,i5,interoceptive,i5hk-nobinobi.mp4,i5kh-harahara.mp4,i5kh-harahara.mp4,"anxious, nervous","comfortable, peaceful","anxious, nervous",i5hk-nobinobi.mp4,0,8864.600000023842
18.0,13344171.0,condition-3,13.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly","feeling warm and fluffy, soft","shivering, feeling chilly",i7kh-zokuzoku.mp4,1,11879.900000000023
18.0,13344171.0,condition-3,14.0,a9,auditory,a9kh-sakutto.mp4,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,with a crunch,"mumbling, chewing",with a crunch,a9kh-sakutto.mp4,1,8870.89999998809
18.0,13344171.0,condition-3,15.0,a3,auditory,a3kh-syakisyaki.mp4,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy","sizzling, oozing","crisp, crunchy",a3hk-ziriziri.mp4,0,11373.500000023863
