Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: rated-word,Spreadsheet: rated-meaning,rating,Reaction Time
18.0,13381142.0,condition-1,20.0,v1,visual,v1kd-gizagiza.mp4,"jagged, serrated",6,5138.0
18.0,13381142.0,condition-1,21.0,i2,interoceptive,i2hu-syoboN.mp4,"downhearted, dejected",5,5505.0
18.0,13381142.0,condition-1,22.0,i0,interoceptive,i0hu-uNzari.mp4,"boredom, tedious, fed up with",5,4819.0
18.0,13381142.0,condition-1,23.0,i1,interoceptive,i1kd-gatugatu.mp4,"ravenously, greedily",4,8255.0
18.0,13381142.0,condition-1,24.0,a9,auditory,a9kd-sakutto.mp4,with a crunch,4,4985.0
18.0,13381142.0,condition-1,25.0,a4,auditory,a4hu-zuruzuru.mp4,with a slurp,6,4502.0
18.0,13381142.0,condition-1,26.0,v8,visual,v8hu-marumaru.mp4,"plump, rotund, chubby",7,4502.0
18.0,13381142.0,condition-1,27.0,i7,interoceptive,i7kd-zokuzoku.mp4,"shivering, feeling chilly",7,4534.0
18.0,13381142.0,condition-1,28.0,a2,auditory,a2hu-zyaazyaa.mp4,noisily gushing,4,6376.0
18.0,13381142.0,condition-1,29.0,v6,visual,v6hu-huNwari.mp4,"gently, airily, fluffy",7,6159.0
18.0,13381142.0,condition-1,30.0,a1,auditory,a1kd-batyabatya.mp4,splashing,6,4702.0
18.0,13554674.0,condition-2,1.0,i6,interoceptive,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",3,13833.700000000004
18.0,13554674.0,condition-2,2.0,v5,visual,v5kk-nikoniko.mp4,"smilingly, with a grin",2,9933.799999999988
18.0,13554674.0,condition-2,3.0,a7,auditory,a7kk-gisigisi.mp4,"with a creak, squeak",5,8700.599999999977
18.0,13554674.0,condition-2,4.0,i0,interoceptive,i0hh-uNzari.mp4,"boredom, tedious, fed up with",2,8568.699999999983
18.0,13554674.0,condition-2,5.0,a0,auditory,a0hh-gosogoso.mp4,with a rustling sound,4,5833.300000000003
18.0,13554674.0,condition-2,6.0,a6,auditory,a6hh-dosari.mp4,with a thud,3,7532.199999999997
18.0,13554674.0,condition-2,7.0,a1,auditory,a1kk-batyabatya.mp4,splashing,5,6800.400000000023
18.0,13554674.0,condition-2,8.0,v2,visual,v2hh-doNyori.mp4,"dark, gloomy",3,5899.400000011927
18.0,13554674.0,condition-2,9.0,i7,interoceptive,i7kk-zokuzoku.mp4,"shivering, feeling chilly",4,6382.09999997617
18.0,13554674.0,condition-2,10.0,v9,visual,v9kk-bosabosa.mp4,"ruffled, disheveled",5,11567.899999999963
18.0,13554674.0,condition-2,11.0,v1,visual,v1kk-gizagiza.mp4,"jagged, serrated",4,8733.600000000006
18.0,13554674.0,condition-2,12.0,i2,interoceptive,i2hh-syoboN.mp4,"downhearted, dejected",2,6365.200000023848
18.0,13554674.0,condition-2,13.0,a5,auditory,a5kk-dotabata.mp4,"noisily, with heavy feet",6,6415.199999988079
18.0,13554674.0,condition-2,14.0,v7,visual,v7kk-kiritto.mp4,"crisp appearance, stiffly",3,9000.400000000023
18.0,13554674.0,condition-2,15.0,i4,interoceptive,i4hh-tyaNto.mp4,"attentive, proper attitude",2,5531.400000011927
